num	app_num	제목	출원인	IPC	CPC
569	10-2021-0177413	밀봉체 및 유기 전계 발광 장치(SEALING STRUCTURE AND ORGANIC ELECTROLUMINESCENCE DEVICE)	SEL	H01L	B27B13/14
570	10-2021-0177383	발광 소자, 발광 장치, 전자 기기, 및 조명 장치(LIGHT-EMITTING ELEMENT, LIGHT-EMITTING DEVICE, ELECTRONIC DEVICE, AND LIGHTING DEVICE)	SEL	H01L	H01J31/20
571	10-2020-0073935	냉장고의 도어(Door for a refrigerator)	LGE	F25D	F25D23/02
572	10-2021-7041398	비디오 부호화 방법 및 장치, 비디오 복호화 방법 및 장치(A method of encoding a video and an apparatus thereof, a method of decoding a video and an apparatus thereof)	SSE	H04N	A63B2049/0214
573	10-2021-7038568	온-디바이스 목표설정 및 개인화를 통한 음성 어시스턴트 발견가능성(VOICE ASSISTANT DISCOVERABILITY THROUGH ON-DEVICE TARGETING AND PERSONALIZATION)	APPLE	G10L	H05K7/20345
574	10-2020-0073145	극자외선 리소그래피용 위상 반전 마스크 및 이를 이용한 반도체 소자의 제조 방법(Phase shift mask for extreme ultraviolet lithography and method of forming a semiconductor device using the same)	SSE	G03F	G03F1/24
575	10-2020-0073933	냉장고(REFRIGERATOR)	LGE	F25D	F25D23/028
576	10-2021-0178038	드라이어(Dryer)	LGE	A45D	H01L2224/76981
577	10-2020-0073733	인-메모리 프로세싱을 수행하는 메모리 디바이스(Memory device for performing in-memory processing)	SSE	G06F	B60K7/0007
578	10-2020-0073523	전자 장치 및 전자 장치의 동작 방법(ELECTRONIC DEVICE AND OPERATION METHOD THEREOF)	SSE	H04N	H01L2224/17104
579	10-2020-0056533	헤어드라이어(HAIR DRYER)	LGE	A45D	A45D20/12
580	10-2020-0167668	고속 링크 스타트업을 수행하는 스토리지 장치 및 이를 포함하는 스토리지 시스템(Storage device for high speed link startup and storage system including the same)	SSE	G06F	H04L69/28
581	10-2020-0073938	냉장고(Refrigerator)	LGE	F25D	F25D23/028
582	10-2020-0073838	냉장고(REFRIGERATOR)	SSE	F25D	F25D11/02
583	10-2020-0073728	3차원 반도체 메모리 장치(Three dimensional semiconductor memory device)	SSE	H01L	H01L23/481
584	10-2020-0066928	이동가능한 휴대폰 수리용 분리조립장치(Disassembling and assembling device for reparing a mobile phone)	SSE	H04M	B66C1/0243
585	10-2019-7023288	다중 센서 및 인공지능에 기반하여 맵을 생성하고 노드들의 상관 관계를 설정하며 맵을 이용하여 주행하는 로봇 및 맵을 생성하는 방법(ROBOT GENERATING MAP ON BASIS OF MULTI-SENSOR AND ARTIFICIAL INTELLIGENCE, CONFIGURING CORRELATION BETWEEN NODES AND RUNNING BY MEANS OF MAP, AND METHOD FOR GENERATING MAP)	LGE	B25J	G05D1/02
586	10-2021-0163084	진공 공간부를 구비하는 냉장고(A refrigerator comprising a vacuum space)	LGE	F25D	F24F1/26
587	10-2020-0072804	이동 가능한 전자장치 및 그 제어방법(MOVABLE ELECTRONIC APPARATUS AND THE METHOD THEREOF)	SSE	H04N	H04N5/83
588	10-2020-0072494	시스템 인 패키지 및 이를 포함하는 전자 모듈(SYSTEM IN PACKAGE AND ELECTRONIC MODULE INCLUDING THE SAME)	SSD	H01L	G11C29/50
589	10-2021-0143032	의류처리장치(Laundry Treating Apparatus)	LGE	D06F	D06F39/085
590	10-2021-0077022	음향 장치(SOUND APPARATUS)	LGD	H04R	H01L41/09
591	10-2020-0073052	반도체 장치(SEMICONDUCTOR DEVICE)	SSE	H01L	H01L27/11556
592	10-2020-0073042	플렉서블 디스플레이 모듈을 포함하는 전자 장치(ELECTRONIC DEVICE INCLUDING FLEXIBLE DISPLAY MODULE)	SSE	G06F	H04M1/0268
593	10-2020-0072602	표시 장치(Display apparatus)	SSD	H01L	G02F1/136286
594	10-2020-0072462	마스크 조립체(MASK ASSEMBLY)	SSD	H01L	C23C14/042
595	10-2021-7036031	핸드오버 리포트 및 RLF 리포트를 전송하는 방법 및 장치(METHOD AND APPARATUS FOR TRANSMITTING A HANDOVER REPORT AND AN RLF REPORT)	SSE	H04W	B01F15/0261
596	10-2021-0172721	수위감지장치 및 이를 가지는 의류건조기(Clothing Dryer)	SSE	D06F	F24F13/222
597	10-2021-0011891	화이트 밸런스를 제어하는 하이 다이나믹 레인지 센서들의 이미지 처리 방법(METHOD FOR IMAGE PROCESSING OF HIGH DYNAMIC RANGE SENSORS FOR HANDLING WHITE BALANCE)	SSE	H04N	H04N9/8244
598	10-2020-0073031	카메라를 포함하는 전자 장치(AN ELECTRONIC DEVICE COMPRISING A CAMERA)	SSE	H04M	H04M1/0277
599	10-2020-0072971	디스플레이 장치의 제조에 사용되는 전사 기판, 디스플레이 장치 및 디스플레이 장치의 제조 방법(SUBSTRATE FOR MANUFACTURING DISPLAY DEVICE, DISPLAY DEVICE AND MANUFACTURING METHOD THEREOF)	LGE	H01L	H01L27/156
600	10-2020-0072931	잔디깎기 로봇을 포함하는 시스템의 제어방법(Controlling method of System comprising Lawn mower robot)	LGE	B25J	A47L2201/04
601	10-2020-0072601	유기 발광 소자 및 이를 포함한 전자 장치(Organic light emitting device and electronic apparatus including the same)	SSD	H01L	H01L51/0062
602	10-2020-0073249	집적회로 소자(Integrated circuit device)	SSE	H01L	H01L21/76897
603	10-2020-0073199	표시 장치(DISPLAY APPARATUS)	LGD	H01L	H01L51/5203
604	10-2020-0072689	반도체 패키지(SEMICONDUCTOR PACKAGE)	SSE	H01L	B60R13/04
605	10-2020-0072439	표시 장치(DISPLAY DEVICE)	SSD	H01L	H01L27/1222
606	10-2021-0157740	기상 증착 장치(Vapor deposition apparatus)	SSD	C23C	C10J2300/0923
607	10-2020-0073100	공기조화기(AIR CONDITIONER)	LGE	F25B	F25B43/006
608	10-2020-0072900	페어링된 장치 정보에 기반한 통신 방법 및 이를 위한 전자 장치(COMMUNICATION METHOD BASED ON PARIED DEVICE INFORMATION AND ELECTRONIC DEVICE THEREFOR)	SSE	H04W	H04W76/14
609	10-2020-0072550	윈도우 성형 장치 및 이를 이용한 윈도우 성형 방법(WINDOW MOLDING APPARATUS AND WINDOW MOLDING METHOD USING THE SAME)	SSD	C03B	F16L3/1083
610	10-2021-7039397	전자 디바이스의 컴포넌트 및 그것의 조립을 위한 방법(COMPONENTS OF AN ELECTRONIC DEVICE AND METHODS FOR THEIR ASSEMBLY)	APPLE	H04B	H03F3/06
611	10-2021-7037016	제스처 추적 및 인식을 위한 RF―기반 마이크로―모션 추적(RF-BASED MICRO-MOTION TRACKING FOR GESTURE TRACKING AND RECOGNITION)	GOOGLE	G06F	F16D2500/5026
612	10-2021-0060597	스토리지 장치들의 충돌 복구에 대한 시스템, 방법 및 장치(SYSTEMS, METHODS, AND APPARATUS FOR CRASH RECOVERY IN STORAGE DEVICES)	SSE	G06F	C12N2760/16161
613	10-2020-0073247	화질 튜닝을 수행하는 이미지 처리 시스템 및 화질 튜닝 방법(IMAGE PROCESSING SYSTEM FOR IMAGE QUALITY TUNING AND METHOD OF IMAGE QUALITY TUNING)	SSE	G06T	C09K2200/0213
614	10-2020-0073246	이차원 전이금속 칼코게나이드 박막의 성장방법 및 이를 포함하는 소자의 제조방법(Method for growing two-dimensional transition metal chalcogenide film and method of manufacturing device including the same)	SSE	H01L	H01L21/28568
615	10-2020-0072496	불휘발성 메모리 장치, 및 그것의 동작 방법(Nonvolatile Memory Device and Operating Method thereof)	SSE	G11C	G11C16/24
616	10-2019-7020567	인공 지능을 이용하여, 합성 음성의 품질을 평가하는 음성 합성 장치 및 그의 동작 방법(VOICE SYNTHESIS APPARATUS FOR EVALUATING QUALITY OF SYNTHESIZED VOICE BY USING ARTIFICIAL INTELLIGENCE, AND OPERATING METHOD THEREFOR)	LGE	G10L	G10L15/063
617	10-2021-0170675	네트워크 가상화 및 세션 관리 방법 및 장치(METHOD AND APPARATUS OF NETWORK VIRTUALIZATION AND SESSION MANAGEMENT)	SSE	H04W	G06F2212/225
618	10-2021-0046985	키-값 솔리드 스테이트 드라이브를 사용한 대화형 연속 인-디바이스 트랜잭션 프로세싱(INTERACTIVE CONTINUOUS IN-DEVICE TRANSACTION PROCESSING USING KEY-VALUE SOLID STATE DRIVES)	SSE	G06F	G06F17/30566
619	10-2021-0021385	유기금속 화합물 및 이를 이용한 집적회로 소자의 제조 방법(Organometallic compounds and method of manufacturing integrated circuit device using the same)	SSE	C23C	H01L21/02181
620	10-2020-0181275	반도체 메모리 장치(Semiconductor memory device)	SSE	H01L	H01L27/11524
621	10-2020-0073245	플랫 탑을 갖는 나노로드 반도체층과 이를 이용한 마이크로 LED와 이를 포함하는 화소 플레이트와 이를 포함하는 디스플레이 장치와 전자장치들(Nanorod structure having flat top, mirco-LED using the same, pixel plate including micro-LED and display and electronic devices including pixel plate)	SSE	H01L	G09F9/33
622	10-2020-0073115	발열 이미지를 이용해 발열을 제어하는 전자 장치 및 그 방법(ELECTRONIC DEVICE AND METHOD FOR CONTROLLING HEAT USING HEAT IMAGE)	SSE	G06F	C04B2111/00448
623	10-2020-0072605	디스플레이 장치(Display apparatus)	SSD	H01L	H04M15/705
624	10-2021-7038583	발광 소자, 화합물, 유기 화합물, 디스플레이 모듈, 조명 모듈, 발광 장치, 표시 장치, 조명 장치 및 전자 기기(LIGHT-EMITTING ELEMENT, COMPOUND, ORGANIC COMPOUND, DISPLAY MODULE, LIGHTING MODULE, LIGHT-EMITTING DEVICE, DISPLAY DEVICE, LIGHTING DEVICE, AND ELECTRONIC DEVICE)	SEL	C07D	H01L51/0072
625	10-2021-0149963	차세대 이동 통신 시스템에서 이중 접속의 데이터 처리를 가속화하는 방법 및 장치(METHOD AND APPARATUS FOR ACCELERATING DATA PROCESS OF DOUBLE CONNECTION IN NEXT GENERATION MOBILE COMMUNICATION SYSTEM)	SSE	H04W	H04L29/08477
626	10-2021-0175718	개선된 색 일관성 및 색 변화에 대한 저항성을 갖는 티타늄 표면들(TITANIUM SURFACES WITH IMPROVED COLOR CONSISTENCY AND RESISTANCE TO COLOR CHANGE)	APPLE	C25D	B60G2206/8111
627	10-2020-0073133	그라운드 연결 구조를 포함하는 전자 장치(Electronic device including a structure for ground connection)	SSE	H05K	H04M1/0277
628	10-2020-0072583	화소 및 이를 구비한 표시 장치(PIXEL AND DISPLAY DEVICE INCLUDING THE SAME)	SSD	H01L	H01J31/20
629	10-2020-0073248	인터포저 및 이를 포함하는 반도체 패키지(INTERPOSER AND SEMICONDUCTOR PACKAGE INCLUDING THE SAME)	SSE	H01L	H01L21/7685
630	10-2020-0072788	전자 장치 및 전자 장치에서 이미지 생성 방법(ELECTRONIC DEVICE AND METHOD FOR GENERATING IMAGE IN ELECTRONIC DEVICE)	SSE	G06F	H04Q2213/13531
631	10-2020-0072608	디스플레이 장치(Display apparatus)	SSD	H01L	H01L27/3276
632	10-2020-0072188	표시 장치의 검사 방법 및 표시 장치의 제조 방법(Method for inspecting of display device and method for manufacturing of the display device)	SSD	H01L	G06T7/90
633	10-2021-0037984	신속한 및 점차적인 마이그레이션 방법(PROMPT AND GRADUAL MIGRATION SCHEMES)	SSE	G06F	G06F3/0644
634	10-2020-0072604	전자 장치 및 그 동작방법(Electronic device and operating method for the same)	SSE	G06T	H04N5/83
635	10-2020-0072334	폴더블 전자 장치 및, 폴더블 전자 장치를 이용한 생체정보 추정 방법(FOLDABLE ELECTRONIC DEVICE AND, AND METHOD FOR ESTIMATING BIO-INFORMATION USING THE DEVICE)	SSE	G06F	A61B5/04
636	10-2021-0042232	영상 정보 손실을 감소하는 픽셀 어레이 및 이를 포함하는 이미지 센서(Pixel array capable of reducing image information loss and Image sensor having the same)	SSE	H04N	B28B23/16
637	10-2020-0127112	정수 필터 어셈블리(WATER PURIFYING FILTER ASSEMBLY)	SSE	B01D	F25D2323/121
638	10-2021-0174031	디바이스 그룹을 지정하기 위한 전자 장치 및 이의 제어 방법(An electronic device and Method for controlling the electronic device thereof)	SSE	G05B	G06F3/167
639	10-2020-0072539	인쇄 회로 기판을 포함하는 전자 장치(AN ELECTRONIC DEVICE COMPRISING A PRINTED CIRCUIT BOARD)	SSE	H05K	H02M3/3374
640	10-2020-0072359	전자 장치 및 그 제어 방법(ELECTRONIC APPARATUS AND METHOD FOR CONTROLLING THEREOF)	SSE	G06N	G06N3/08
641	10-2020-0072339	동흡진기(Dynamic Damper)	LGE	F24F	F04B39/0061
642	10-2020-0072209	전계발광 표시장치 및 그의 제조방법(ELECTROLUMINESCENCE DISPLAY DEVICE AND MANUFACTURING METHOD FOR THE SAME)	LGD	H01L	B60R2021/26047
643	10-2020-0071859	화소 회로 및 유기 발광 표시 장치(Pixel circuit and organic light emitting display)	SSD	G09G	G09G3/3258
644	10-2021-7031610	UWB를 통해 레인징을 수행하는 전자 디바이스 및 전자 디바이스의 동작 방법(ELECTRONIC DEVICE FOR PERFORMING RANGING THROUGH UWB, AND OPERATION METHOD FOR ELECTRONIC DEVICE)	SSE	G01S	A61B2018/1823
645	10-2021-0168130	팬 모터 및 그 제조방법(Fan motor and Manufacturing method of the same)	LGE	H02K	A47L9/22
646	10-2021-0047870	칩 상의 멀티 카메라 및 카메라 모듈 설계(MULTI-CAMERA ON A CHIP AND CAMERA MODULE DESIGN)	SSE	H04N	C12N2760/18311
647	10-2020-0072110	음료 제조기(BAVERAGE MAKER)	LGE	C12C	C12C13/10
648	10-2020-0055960	로봇청소기(Stand for Cleaner)	LGE	A47L	A47L9/22
649	10-2021-0177657	플렉서블 터치 패널 및 플렉서블 표시 장치(FLEXIBLE TOUCH PANEL AND FLEXIBLE DISPLAY DEVICE)	SSD	G06F	A63F2009/2466
650	10-2021-0048537	세탁기 및 그 제어 방법(WASHER AND CONTROLLING METHOD THEREOF)	SSE	D06F	D06F37/304
651	10-2020-0071856	표시 장치(DISPLAY DEVICE)	SSD	H01L	H01L27/322
652	10-2020-0072337	에어클린팬(Air cean fan)	LGE	F04D	A47L9/22
653	10-2020-0071437	표시 장치(DISPLAY DEVICE)	SSD	H05K	F24F11/52
654	10-2021-7033653	무선 통신 시스템에서 통신을 수행하는 방법 및 장치(METHOD AND APPARATUS FOR PERFORMING COMMUNICATION IN WIRELESS COMMUNICATION SYSTEM)	SSE	H04W	B60K2370/66
655	10-2020-0072335	웨어러블 기기 및 생체신호 측정 방법(WEARABLE DEVICE AND METHOD FOR MEASURING BIO-SIGNAL)	SSE	A61B	A61B5/0059
656	10-2021-7037808	반도체 장치(SEMICONDUCTOR DEVICE)	SEL	H01L	H01L21/024
657	10-2021-7036678	디스플레이 사용량을 관리하기 위한 기법들(TECHNIQUES FOR MANAGING DISPLAY USAGE)	APPLE	G09G	G06F9/451
658	10-2021-0076703	차량용 냉장고(REFRIGERATOR FOR CAR)	LGE	B60N	B60N3/104
659	10-2020-0133183	전자 장치 및 그 제어 방법(ELECTRONIC APPARATUS AND CONTROLLING METHOD THEREOF)	SSE	G10L	B29C45/1604
660	10-2020-0114513	암 구조와 힌지 구조 및 이를 포함하는 전자 장치(Structure of arm and Structure of Hinge including the same and electronic device including the same)	SSE	H04M	H01H73/54
661	10-2020-0072463	고전압 스위칭 회로를 포함하는 비휘발성 메모리 장치 및 이의 동작 방법(MEMORY DEVICE INCLUDING HIGH VOLTAGE SWITCHING CIRCUIT AND OPERATING METHOD THEREOF)	SSE	G11C	G11C5/143
662	10-2020-0072333	혈압 추정 장치 및 방법(APPARATUS AND METHOD FOR ESTIMATING BLOOD PRESSURE)	SSE	A61B	A61B5/02108
663	10-2020-0071543	표시 장치(DISPLAY DEVICE)	SSD	G09G	G05B2219/25155
664	10-2020-0072338	에어클린팬(Air cean fan)	LGE	F04D	H01L2224/85054
665	10-2020-0048883	압축기(A compressor)	LGE	F04C	F04C18/356
666	10-2021-0176584	박리 방법 및 플렉시블 디바이스의 제작 방법(PEELING METHOD AND MANUFACTURING METHOD OF FLEXIBLE DEVICE)	SEL	H01L	H01L29/66083
667	10-2021-0067024	임피던스 인버터들을 갖는 듀플렉서(DUPLEXER WITH IMPEDANCE INVERTERS)	APPLE	H04B	G01N2001/31
668	10-2020-0166934	화상통화시 업스케일을 위한 적응적 인공지능 다운스케일 방법 및 장치(A method and an apparatus for adaptive artificial intelligence downscaling for upscaling during video telephone call)	SSE	H04N	H04N7/147
669	10-2020-0140674	디스플레이 장치 및 그 제어 방법(DISPLAY APPARATUS AND CONTROL METHOD THEREOF)	SSE	G09G	Y10S977/85
670	10-2021-7041232	차량에 탑재되는 안테나 시스템 및 이를 구비하는 차량(ANTENNA SYSTEM LOAED IN VEHICLE AND VEHICLE COMPRISING THE SAME)	LGE	B60R	H01Q1/3275
671	10-2020-0071154	표시패널(DISPLAY PANEL)	SSD	H01L	H01L27/322
672	10-2020-0071402	표시 장치(DISPLAY APPARATUS)	LGD	H01L	H01L27/3211
673	10-2020-0071012	유기 물질을 포함하는 잉크, 이를 이용한 표시 장치 및 표시 장치의 제조방법(Ink composite organic material display device using the same, and manufacturing of the display device)	SSD	C09D	H01L27/3246
674	10-2021-7040651	연장형 댐퍼를 갖는 분산 모드 라우드스피커용 액추에이터 및 이를 포함하는 시스템(ACTUATOR FOR DISTRIBUTED MODE LOUDSPEAKER WITH EXTENDED DAMPER AND SYSTEMS INCLUDING THE SAME)	GOOGLE	H04R	H01L41/09
675	10-2021-7037551	딥 뉴럴 네트워크들을 사용하는 사업체에 구애받지 않는 상담 센터 예상된 대기 시간들의 예측(PREDICTING BUSINESS-AGNOSTIC CONTACT CENTER EXPECTED WAIT TIMES WITH DEEP NEURAL NETWORKS)	GOOGLE	G06Q	H04W52/0216
676	10-2021-0076991	마이크로 커널에 기반한 확장 가능 하이퍼바이저(MICRO KERNEL-BASED EXTENSIBLE HYPERVISOR)	SSE	G06F	G06F9/45504
677	10-2021-0059541	플렉서블 디스플레이 및 카메라 모듈을 포함하는 전자 장치(ELECTRONIC DEVICEF INCLUDING FLEXIBLE DISPLAY AND CAMERA MODULE)	SSE	H04M	H04M1/0264
678	10-2020-0071811	3차원 반도체 장치 및 반도체 장치의 제조방법(THREE DIMENSIONAL SEMICONDUCTOR DEVICE AND METHOD OF MANUFACTURING THE SAME)	SSE	H01L	C03B37/0216
679	10-2021-0175879	지속적인 무선 연결을 통한 무선 트랜잭션(WIRELESS TRANSACTION VIA PERSISTENT WIRELESS CONNECTION)	APPLE	G06Q	Y10S320/18
680	10-2020-0071589	부동 소수점 연산을 수행하는 뉴럴 네트워크 장치 및 그의 동작 방법(NEURAL NETWORK APPARATUS PERFORMING FLOATING POINT OPERATION AND OPERATING METHOD OF THE SAME)	SSE	G06N	G06N3/063
681	10-2020-0071459	복소수 기반 어텐션 네트워크 연산 방법 및 장치(DEVICE AND METHOD TO COMPUTING USING COMPLEX VALUED ATTENTION NETWORK)	SSE	G06F	E05F2015/432
682	10-2020-0070839	유기 전계 발광 소자 및 유기 전계 발광 소자용 아민 화합물(ORGANIC ELECTROLUMINESCENCE DEVICE AND AMINE COMPOUND FOR ORGANIC ELECTROLUMINESCENCE DEVICE)	SSD	H01L	C07C35/42
683	10-2020-0070679	유리 제품, 유리 제품을 포함하는 디스플레이 장치, 및 유리 제품의 제조 방법(Glass article, display device including the glass article, and method of manufacturing for the glass article)	SSD	C03C	B24B7/24
684	10-2020-0082010	전자 장치 및 이의 제어 방법(ELECTRONIC APPARATUS AND CONTROL METHOD THEREOF)	SSE	G06F	H04M2201/42
685	10-2021-7037186	비디오 기반 포인트 클라우드 압축에서 싱글 패스 경계 검출(SINGLE-PASS BOUNDARY DETECTION IN VIDEO-BASED POINT CLOUD COMPRESSION)	SSE	H04N	G06T15/005
686	10-2020-0071770	반도체 장치 및 그 제조 방법(SEMICONDUCTOR DEVICE AND A METHOD FOR MANUFACTURING THE SAME)	SSE	H01L	H01L29/785
687	10-2020-0071520	디스플레이 장치(DISPLAY DEVICE)	LGE	H04R	A47F9/005
688	10-2020-0070970	표시장치(Display device)	SSD	H01L	H01L27/3276
689	10-2020-0071776	인덕션 쿡탑에 의하여 가열되는 조리용기의 온도를 검출하는 전자 장치 및 그 제어 방법(ELECTRONIC DEVICE DETECTING TEMPERATURE OF COOKING VESSEL HEATED BY INDUCTION COOKTOP AND METHOD OF OPERATING THEREOF)	SSE	H05B	H05B6/1209
690	10-2020-0071166	전자 장치 및 그 전자 장치의 제조 방법(ELECTRONIC DEVICE AND MANUFACTURING METHOD OF THE SAME)	SSD	G02B	C12Q2326/92
691	10-2020-0070916	유기 발광 표시 장치의 화소 및 유기 발광 표시 장치(PIXEL OF AN ORGANIC LIGHT EMITTING DIODE DISPLAY DEVICE, AND ORGANIC LIGHT EMITTING DIODE DISPLAY DEVICE)	SSD	G09G	G05B2219/25155
692	10-2020-0070836	유기 전계 발광 소자 및 유기 전계 발광 소자용 축합 다환 화합물(ORGANIC ELECTROLUMINESCENCE DEVICE AND FUSED POLYCYCLIC COMPOUND FOR ORGANIC ELECTROLUMINESCENCE DEVICE)	SSD	H01L	C09K11/7702
693	10-2021-0137837	신호 부호화방법 및 장치와 신호 복호화방법 및 장치(Signal encoding method and apparatus and signal decoding method and apparatus)	SSE	G10L	G10L19/0216
694	10-2021-0073227	비활성 상태 데이터 전송을 위한 빔 미세 조정을 위한 장치 및 방법(DEVICE AND METHOD FOR BEAM REFINEMENT FOR IN-ACTIVE STATE DATA TRANSMISSION)	SSE	H04W	B60K2370/66
695	10-2021-7035035	리튬 망가니즈 복합 산화물, 이차 전지, 및 전자 기기, 및 층의 형성 방법(LITHIUM MANGANESE COMPOSITE OXIDE, SECONDARY BATTERY, ELECTRONIC DEVICE, AND METHOD FOR FORMING LAYER)	SEL	H01M	C25B11/16
696	10-2020-0071847	무선 통신 시스템에서 MBS를 지원하는 방법 및 장치(METHOD AND APPARATUS FOR SUPPORTING MBS IN WIRELESS COMMUNICATION SYSTEM)	SSE	H04W	B29C2947/92257
697	10-2020-0071767	보조 삼발이(Secondary Tripod)	LGE	F24C	F24C15/107
698	10-2020-0070897	발광 소자 잉크, 표시 장치 및 그 제조 방법(Light emitting element ink, display device and method for manufacturing of the same)	SSD	C09D	G03C7/39208
699	10-2020-0070847	커패시턴스 산출 방법 및 기판의 두께 산출 방법(METHOD FOR CALCULATING CAPACITANCE AND METHOD FOR CALCULATING THICKNESS OF SUBSTRATE)	SSD	H01L	H01L22/12
700	10-2021-7037998	2-패스 방식의 종단간 음성 인식(TWO-PASS END TO END SPEECH RECOGNITION)	GOOGLE	G10L	G06N3/084
701	10-2020-0071775	단말 장치, 식기 세척기, 단말 장치의 제어 방법 및 식기 세척기의 제어 방법(TERMINAL APPARATUS, DISH WASHER, CONTROL METHOD OF TERMINAL APPARATUS AND CONTROL METHOD OF DISH WASHER)	SSE	A47L	A47L15/4293
702	10-2020-0071755	초점 조절 기능을 포함하는 전자 장치 및 방법(Electronic device and method including Focus adjustment function)	SSE	H04N	B66F9/185
703	10-2021-7041003	포인트 클라우드 압축(POINT CLOUD COMPRESSION)	APPLE	G06T	G06T7/55
704	10-2021-0168723	발광 장치(LIGHT-EMITTING DEVICE)	SEL	H01L	H01J31/20
705	10-2020-0130458	영상 처리 장치 및 그 동작방법(Image processing apparatus and operating method for the same)	SSE	G06T	C10K1/02
706	10-2020-0070658	메모리 모듈 및 그의 동작 방법(MEMORY MODULE AND OPERATING METHOD THEREOF)	SSE	G06F	F27D1/0009
707	10-2020-0071013	표시 장치(Display apparatus)	SSD	H01L	G05B2219/32008
708	10-2020-0070883	반도체 장치 및 그 제조 방법(SEMICONDUCTOR DEVICES AND METHOD OF MANUFACTURING THE SAME)	SSE	H01L	H01L21/76846
709	10-2019-7023568	복수의 전자 장치의 분류 및 설정하기 위한 장치 및 그 방법(APPARATUS FOR CLASSIFYING AND CONFIGURING PLURALITY OF ELECTRONIC DEVICES AND METHOD THEREFOR)	LGE	G06F	H03F3/45704
710	10-2021-7039234	오디오 공유를 위한 방법들 및 사용자 인터페이스들(METHODS AND USER INTERFACES FOR SHARING AUDIO)	APPLE	G06F	G06F2203/04808
711	10-2020-0070964	광 셔터 패널 및 이를 구비한 투명 표시 장치(Light Shutter Panel And Transparent Display Having The Same)	LGD	G02B	G02F1/133512
712	10-2020-0160892	전자 디바이스(ELECTRONIC DEVICE)	APPLE	G04C	G06F1/1635
713	10-2021-7035421	반도체 릴레이 및 반도체 장치(SEMICONDUCTOR RELAY AND SEMICONDUCTOR DEVICE)	SEL	H01L	B29C45/76
714	10-2021-7033981	반도체 장치 및 반도체 장치의 제작 방법(Semiconductor device and manufacturing method thereof)	SEL	H01L	Y10S148/141
715	10-2020-0121231	전자 장치 및 그 제어 방법(ELECTRONIC APPARATUS AND CONTROL METHOD THEREOF)	SSE	G06N	Y02P60/22
716	10-2020-0070461	디스플레이 장치 및 그 제조방법(Display apparatus and manufacturing the same)	SSD	H01L	G06F16/3332
717	10-2020-0070999	전자 장치 및 이의 제어 방법(ELECTRONIC DEVICE AND CONTROL METHOD THEREOF)	SSE	G06Q	B29C2045/145
718	10-2021-7036826	표시 장치, 표시 모듈, 및 전자 기기(DISPLAY DEVICE, DISPLAY MODULE, AND ELECTRONIC DEVICE)	SEL	H01L	Y10S514/832
719	10-2021-7036736	어레이 개구의 저복잡도 빔 스티어링(LOW-COMPLEXITY BEAM STEERING IN ARRAY APERTURES)	SSE	H04B	H01J2237/06316
720	10-2021-7035306	상이한 노출 설정들을 이용하여 캡처된 이미지 프레임들을 블렌딩된 이미지들로 결합하는 방법 및 장치(METHOD AND APPARATUS FOR COMBINING IMAGE FRAMES CAPTURED USING DIFFERENT EXPOSURE SETTINGS INTO BLENDED IMAGES)	SSE	H04N	C10K1/02
721	10-2021-0047820	감지 시스템을 위한 누진 메타렌즈(PROGRESSIVE METALENS FOR SENSING SYSTEM)	SSE	G02B	C12N2760/18311
722	10-2021-0164846	반도체 장치 및 그 제조 방법(SEMICONDUCTOR DEVICES AND METHODS OF MANUFACTURING THE SAME)	SSE	H01L	H01L21/76877
723	10-2020-0070440	개구율 계측 장치 및 이를 포함하는 표시 장치의 열화 보상 시스템(APERTURE RATIO MEASUREMENT DEVICE AND SYSTEM FOR COMPENSATING DEGRADATION OF DISPLAY DEVICE INCLUDING THE SAME)	SSD	G09G	D06P1/625
724	10-2020-0070316	표시 장치(DISPLAY APPARATUS)	SSD	H01L	G02F1/1345
725	10-2020-0061626	로터리 압축기(ROTARY COMPRESSOR)	LGE	F04C	F04C18/356
726	10-2021-7040137	무선 통신 시스템에서 채널 상태 정보 송수신 방법 및 이를 위한 장치(METHOD FOR TRANSMITTING AND RECEIVING CHANNEL STATE INFORMATION IN A WIRELESS COMMUNICATION SYSTEM AND APPARATUS THEREFOR)	LGE	H04B	H04B7/0626
727	10-2021-7038547	비허가 스펙트럼 상에서 동작하는 뉴 라디오(NR) 시스템들에 대한 업링크 LBT 실패들을 핸들링하는 장치 및 방법(APPARATUS AND METHOD OF HANDLING UPLINK LISTEN BEFORE TALK (LBT) FAILURES FOR NEW RADIO (NR) SYSTEMS OPERATING ON UNLICENSED SPECTRUM)	APPLE	H04W	F22B27/08
728	10-2021-7034377	뉴 라디오 포지셔닝을 위한 빔 그룹 리포팅을 위한 시스템들 및 방법들(SYSTEMS AND METHODS FOR BEAM GROUP REPORTING FOR NEW RADIO POSITIONING)	QLC	H04W	F41A31/00
729	10-2020-0071127	공기조화기 실내기(Indoor unit of air conditioner)	LGE	F24F	F24F1/0011
730	10-2020-0071085	디스플레이 장치 및 그 제조 방법(DISPLAY APPARATUS AND THE MANUFACTURING METHOD THEREOF)	SSE	H01L	G05B2219/23185
731	10-2020-0071057	냉장고(REFRIGERATOR)	LGE	F25D	F25D2317/0415
732	10-2020-0070895	모터 어셈블리 및 이를 포함하는 청소기(MOTOR ASSEMBLY AND A CLEANER COMPRISING THE SAME)	SSE	H02K	A47L9/22
