cpc	description	4char	3char
H01H85/38	. . Means for extinguishing or suppressing arc (by powder filling H01H85/18; by mechanical tension applied to fusible member H01H85/36)	H01H	H01
H02K13/02	. Connections between slip-rings and windings	H02K	H02
H02K3/48	. . in slots	H02K	H02
H01L35/04	. . Structural details of the junction; Connections of leads	H01L	H01
H02N3/00	Generators in which thermal or kinetic energy is converted into electrical energy by ionisation of a fluid and removal of the charge therefrom (discharge tubes functioning as thermionic generators H01J45/00)	H02N	H02
H03G11/00	Limiting amplitude; Limiting rate of change of amplitude {; Clipping in general}	H03G	H03
H04B10/58	. . Compensation for non-linear transmitter output	H04B	H04
H04B10/2507	. . for the reduction or elimination of distortion or dispersion	H04B	H04
H04B2210/25	. Distortion or dispersion compensation	H04B	H04
H01H71/02	. Housings; Casings; Bases; Mountings	H01H	H01
H01H73/18	. . Means for extinguishing or suppressing arc {(magnet coil acting as blow-out device H01H71/38)}	H01H	H01
H04W40/32	. . for defining a routing cluster membership	H04W	H04
H04W36/22	. . for handling the traffic	H04W	H04
H02K15/08	. Forming windings by laying conductors into or around core parts	H02K	H02
H04M11/02	. with bell or annunciator systems	H04M	H04
H01Q9/04	. Resonant antennas	H01Q	H01
H04M1/60	. including speech amplifiers	H04M	H04
H04Q2209/30	. using a wired architecture	H04Q	H04
H02P2205/00	Indexing scheme relating to controlling arrangements characterised by the control loops	H02P	H02
H04N13/327	. . Calibration thereof	H04N	H04
H05K13/08	. Monitoring manufacture of assemblages	H05K	H05
H01R43/20	. for assembling or disassembling contact members with insulating base, case or sleeve	H01R	H01
H01B11/02	. Cables with twisted pairs or quads	H01B	H01
H04S3/02	. of the matrix type, i.e. in which input signals are combined algebraically, e.g. after having been phase shifted with respect to each other	H04S	H04
H04S2400/01	. Multi-channel, i.e. more than two input channels, sound reproduction with two speakers wherein the multi-channel information is substantially preserved	H04S	H04
H04S2400/03	. Aspects of down-mixing multi-channel audio to configurations with lower numbers of playback channels, e.g. 7.1 -> 5.1 (H04S2400/01 takes precedence)	H04S	H04
H03H7/13	. . using electro-optic elements	H03H	H03
H04B7/22	. Scatter propagation systems {, e.g. ionospheric, tropospheric or meteor scatter}	H04B	H04
H03M13/27	. using interleaving techniques	H03M	H03
H01J37/22	. . Optical or photographic arrangements associated with the tube {(using a CRT for the display of the image in a scanning electron microscope H01J37/28; observing the object or the point of impact on the object in tubes for the localised treatment of materials H01J37/3007)}	H01J	H01
H01Q19/30	. . the primary active element being centre-fed and substantially straight, e.g. Yagi antenna	H01Q	H01
H01P3/12	. Hollow waveguides (H01P3/20 takes precedence)	H01P	H01
H04B1/69	. Spread spectrum techniques	H04B	H04
H01M2300/0091	. . in the form of mixtures	H01M	H01
H01F7/08	. . with armatures	H01F	H01
H04H60/32	. . Arrangements for monitoring conditions of receiving stations, e.g. malfunction or breakdown of receiving stations	H04H	H04
H01S3/08	. . Construction or shape of optical resonators or components thereof {(waveguide lasers H01S3/063)}	H01S	H01
H04W52/00	Power management, e.g. TPC [Transmission Power Control], power saving or power classes {(gain control in transmitters or power amplifiers H03G3/3042)}	H04W	H04
H01M10/26	. . Selection of materials as electrolytes	H01M	H01
H04W28/16	. Central resource management; Negotiation of resources or communication parameters, e.g. negotiating bandwidth or QoS [Quality of Service]	H04W	H04
H05H2242/10	. Cooling arrangements	H05H	H05
H02K21/04	. . Windings on magnets for additional excitation {; Windings and magnets for additional excitation}	H02K	H02
H01S3/02	. Constructional details {(housings or packages of fibre lasers H01S3/06704)}	H01S	H01
H02H7/12	. . for static converters or rectifiers {(for discharge lamp power supplies using static converters H05B41/2851, H05B41/2921, H05B41/2981)}	H02H	H02
H01L2924/0695	. . Polyamide	H01L	H01
H01L2924/01111	. . Halogens	H01L	H01
H03K17/945	. . Proximity switches (H03K17/96 takes precedence)	H03K	H03
H05B47/155	. . Coordinated control of two or more light sources	H05B	H05
H02K9/02	. by ambient air flowing through the machine	H02K	H02
H01L41/107	. . with electrical input and electrical output {, e.g. transformers}	H01L	H01
H04W84/20	. . Master-slave {selection or change} arrangements	H04W	H04
H01F3/00	Cores, Yokes, or armatures (magnetic materials H01F1/00; permanent magnets H01F7/02)	H01F	H01
H01M10/36	. Accumulators not provided for in groups H01M10/05-H01M10/34	H01M	H01
H01M2300/0002	. Aqueous electrolytes	H01M	H01
H01J37/252	. Tubes for spot-analysing by electron or ion beams; Microanalysers	H01J	H01
H04R17/10	. Resonant transducers, i.e. adapted to produce maximum output at a predetermined frequency	H04R	H04
H04R3/08	. . of electromagnetic transducers	H04R	H04
H04R2440/05	. Aspects relating to the positioning and way or means of mounting of exciters to resonant bending wave panels	H04R	H04
H03G5/16	. Automatic control	H03G	H03
H02P5/68	. controlling two or more dc dynamo-electric motors (H02P5/46, H02P5/60 take precedence)	H02P	H02
H01L41/253	. . Treating devices or parts thereof to modify a piezo-electric or electrostrictive property, e.g. polarisation characteristics, vibration characteristics or mode tuning	H01L	H01
H04B17/23	. . Indication means, e.g. displays, alarms, audible means	H04B	H04
H05K2203/16	. Inspection; Monitoring; Aligning	H05K	H05
H01J37/256	. . using scanning beams	H01J	H01
H04W74/02	. Hybrid access techniques	H04W	H04
H04N13/106	. . Processing image signals (for multi-view video sequence encoding H04N19/597)	H04N	H04
H01H45/04	. . Mounting complete relay or separate parts of relay on a base or inside a case	H01H	H01
H02P6/00	Arrangements for controlling synchronous motors or other dynamo-electric motors using electronic commutation dependent on the rotor position; Electronic commutators therefor (vector control H02P21/00)	H02P	H02
H04M11/06	. Simultaneous speech and data transmission, e.g. telegraphic transmission over the same conductors	H04M	H04
H01B7/00	Insulated conductors or cables characterised by their form	H01B	H01
H01Q11/10	. . Logperiodic antennas (H01Q11/08 takes precedence)	H01Q	H01
H01L2924/01007	. . Nitrogen [N]	H01L	H01
H01H13/86	. . characterised by the casing, e.g. sealed casings or casings reducible in size	H01H	H01
H01S3/09	. Processes or apparatus for excitation, e.g. pumping	H01S	H01
H02J50/70	. involving the reduction of electric, magnetic or electromagnetic leakage fields	H02J	H02
H01B13/24	. . by extrusion {(extrusion of cables with plastic material in general B29C 48/15)}	H01B	H01
H01M8/249	. . comprising two or more groupings of fuel cells, e.g. modular assemblies	H01M	H01
H03M7/30	. Compression (speech analysis-synthesis for redundancy reduction G10L 19/00; for image communication H04N);Expansion; Suppression of unnecessary data, e.g. redundancy reduction	H03M	H03
H02J50/15	. using ultrasonic waves	H02J	H02
H01M2200/20	. Pressure-sensitive devices	H01M	H01
H02K15/16	. Centering rotors within the stator; Balancing rotors	H02K	H02
H02K11/30	. Structural association with control circuits or drive circuits	H02K	H02
H02K19/26	. . characterised by the arrangement of exciting windings	H02K	H02
H04L1/20	. using signal quality detector	H04L	H04
H01L23/62	. . Protection against overvoltage, e.g. fuses, shunts	H01L	H01
H01B17/30	. . Sealing	H01B	H01
H04B17/24	. . with feedback of measurements to the transmitter	H04B	H04
H04B1/707	. . using direct sequence modulation	H04B	H04
H04M11/04	. with alarm systems, e.g. fire, police or burglar alarm systems	H04M	H04
H01F5/02	. wound on non-magnetic supports, e.g. formers	H01F	H01
H01F3/10	. Composite arrangements of magnetic circuits	H01F	H01
H01F38/08	. High-leakage transformers or inductances	H01F	H01
H04R2307/023	. Diaphragms comprising ceramic-like materials, e.g. pure ceramic, glass, boride, nitride, carbide, mica and carbon materials	H04R	H04
H04R2430/03	. Synergistic effects of band splitting and sub-band processing	H04R	H04
H01Q11/08	. . Helical antennas	H01Q	H01
H01R13/516	. . Means for holding or embracing insulating body, e.g. casing {, hoods}	H01R	H01
H04M2250/16	. including more than one display unit	H04M	H04
H04R7/04	. . Plane diaphragms	H04R	H04
H04B10/2581	. . Multimode transmission	H04B	H04
H01R39/08	. . Slip-rings	H01R	H01
H01H47/00	Circuit arrangements not adapted to a particular application of the relay and designed to obtain desired operating characteristics or to provide energising current	H01H	H01
H01T19/00	Devices providing for corona discharge (for charging electrographic elements G03G 15/02)	H01T	H01
H01H33/42	. . Driving mechanisms	H01H	H01
H01H9/30	. Means for extinguishing or preventing arc between current-carrying parts	H01H	H01
H05K2201/01	. Dielectrics	H05K	H05
H05H1/26	. . Plasma torches	H05H	H05
H01L2251/105	. . Patterning of a layer by embossing, e.g. to form trenches in an insulating layer	H01L	H01
H05B2203/008	. . with layout including a portion free of resistive material, e.g. communication window	H05B	H05
H01F6/06	. Coils, e.g. winding, insulating, terminating or casing arrangements therefor	H01F	H01
H01F6/04	. Cooling	H01F	H01
H02K15/12	. Impregnating, heating or drying of windings, stators, rotors or machines	H02K	H02
H01M8/04082	. . Arrangements for control of reactant parameters, e.g. pressure or concentration	H01M	H01
H01M8/0662	. . Treatment of gaseous reactants or gaseous residues, e.g. cleaning	H01M	H01
H02J13/00	Circuit arrangements for providing remote indication of network conditions, e.g. an instantaneous record of the open or closed condition of each circuitbreaker in the network; Circuit arrangements for providing remote control of switching means in a power distribution network, e.g. switching in and out of current consumers by using a pulse code signal carried by the network	H02J	H02
H04L13/16	. of transmitters, e.g. code-bars, code-discs	H04L	H04
H03M13/25	. Error detection or forward error correction by signal space coding, i.e. adding redundancy in the signal constellation, e.g. Trellis Coded Modulation [TCM] {(modulation codes H03M13/31)}	H03M	H03
H05B2203/023	. . Heaters of the type used for electrically heating the air blown in a vehicle compartment by the vehicle heating system	H05B	H05
H01L23/58	. Structural electrical arrangements for semiconductor devices not otherwise provided for {, e.g. in combination with batteries (H01L23/49593, H01L23/49596 take precedence)}	H01L	H01
H02P23/24	. Controlling the direction, e.g. clockwise or counterclockwise	H02P	H02
H05F3/06	. by means of ionising radiation	H05F	H05
H05B3/02	. Details	H05B	H05
H05K2201/2009	. . Reinforced areas, e.g. for a specific part of a flexible printed circuit	H05K	H05
H03H7/12	. . Bandpass or bandstop filters with adjustable bandwidth and fixed centre frequency (H03H7/09 takes precedence; automatic control of bandwidth in amplifiers H03G5/16)	H03H	H03
H02P27/04	. using variable-frequency supply voltage, e.g. inverter or converter supply voltage	H02P	H02
H03H7/38	. Impedance-matching networks	H03H	H03
H05B2203/01	. . Heaters comprising a particular structure with multiple layers	H05B	H05
H04L1/24	. Testing correct operation	H04L	H04
H03F2200/423	. Amplifier output adaptation especially for transmission line coupling purposes, e.g. impedance adaptation	H03F	H03
H03F2200/543	. A transmission line being used as coupling element between two amplifying stages	H03F	H03
H01R13/62	. Means for facilitating engagement or disengagement of coupling parts or for holding them in engagement	H01R	H01
H04B10/50	. Transmitters	H04B	H04
H04B10/66	. . Non-coherent receivers, e.g. using direct detection	H04B	H04
H01B17/18	. . for very heavy conductors, e.g. bus-bars, rails	H01B	H01
H04M1/17	. . Hygienic or sanitary devices on telephone equipment (for mouthpieces or earpieces H04R1/12)	H04M	H04
H01P1/161	. . sustaining two independent orthogonal modes, e.g. orthomode transducer {(combining or separating polarisations and frequencies H01P1/2131)}	H01P	H01
H04J14/08	. Time-division multiplex systems	H04J	H04
H04R1/20	. Arrangements for obtaining desired frequency or directional characteristics (for stereophonic purpose H04R5/00)	H04R	H04
H04J2211/001	. using small cells within macro cells, e.g. femto, pico or microcells	H04J	H04
H04Q9/02	. Automatically-operated arrangements	H04Q	H04
H02H9/04	. responsive to excess voltage (lightning arrestors H01C7/12, H01C8/04, H01G9/18, H01T)	H02H	H02
H02J2203/20	. Simulating, e g planning, reliability check, modelling or computer assisted design [CAD]	H02J	H02
H01Q1/10	. . Telescopic elements	H01Q	H01
H01P1/15	. . by semiconductor devices	H01P	H01
H03K17/74	. . by the use, as active elements, of diodes (by the use of more than one type of semiconductor device H03K17/567; by the use of tunnel diodes H03K17/58; by the use of negative resistance diodes H03K17/70)	H03K	H03
H04W76/25	. . Maintenance of established connections	H04W	H04
H01B12/04	. . Single wire	H01B	H01
H01G7/00	Capacitors in which the capacitance is varied by non-mechanical means; Processes of their manufacture	H01G	H01
H02J3/08	. . Synchronising of networks	H02J	H02
H04M1/02	. Constructional features of telephone sets	H04M	H04
H02J50/50	. using additional energy repeaters between transmitting devices and receiving devices	H02J	H02
H03F2200/204	. A hybrid coupler being used at the output of an amplifier circuit	H03F	H03
H05K2203/068	. . Features of the lamination press or of the lamination process, e.g. using special separator sheets	H05K	H05
H05K2203/11	. Treatments characterised by their effect, e.g. heating, cooling, roughening	H05K	H05
H01F30/16	. . Toroidal transformers	H01F	H01
H03F3/189	. High frequency amplifiers, e.g. radio frequency amplifiers	H03F	H03
H04W28/26	. . Resource reservation	H04W	H04
H04N19/20	. using video object coding	H04N	H04
H05B2203/035	. Electrical circuits used in resistive heating apparatus	H05B	H05
H01Q5/30	. Arrangements for providing operation on different wavebands	H01Q	H01
H04B1/62	. for providing a predistortion of the signal in the transmitter and corresponding correction in the receiver, e.g. for improving the signal/noise ratio	H04B	H04
H05K13/04	. Mounting of components {, e.g. of leadless components}	H05K	H05
H02H3/05	. . with means for increasing reliability, e.g. redundancy arrangements {(for logic circuits H03K19/003)}	H02H	H02
H04W36/08	. Reselecting an access point	H04W	H04
H02K21/02	. Details	H02K	H02
H01S3/13	. . Stabilisation of laser output parameters, e.g. frequency, amplitude	H01S	H01
H02K16/02	. Machines with one stator and two {or more} rotors	H02K	H02
H03B5/04	. . Modifications of generator to compensate for variations in physical values, e.g. power supply, load, temperature	H03B	H03
H03B5/32	. . being a piezo-electric resonator (selection of piezo-electric material H01L41/00)	H03B	H03
H04W40/24	. Connectivity information management, e.g. connectivity discovery or connectivity update	H04W	H04
H01M6/44	. . of tubular or cup-shaped cells	H01M	H01
H04W40/20	. . based on geographic position or location	H04W	H04
H02K15/04	. of windings, prior to mounting into machines (insulating windings H02K15/10, H02K15/12)	H02K	H02
H03H11/04	. . Frequency selective two-port networks	H03H	H03
H03H7/01	. Frequency selective two-port networks	H03H	H03
H02P29/032	. . Preventing damage to the motor, e.g. setting individual current limits for different drive conditions	H02P	H02
H01B17/56	. Insulating bodies	H01B	H01
H01M2250/402	. . Combination of fuel cell with other electric generators (combination of fuel cells with other electrochemical generator H01M16/003)	H01M	H01
H02K5/20	. . with channels or ducts for flow of cooling medium	H02K	H02
H01L2924/01017	. . Chlorine [Cl]	H01L	H01
H01J35/20	. . Selection of substances for gas fillings; Means for obtaining or maintaining the desired pressure within the tube, e.g. by gettering	H01J	H01
H01J2235/12	. Cooling	H01J	H01
H04L5/02	. Channels characterised by the type of signal	H04L	H04
H04R2217/03	. Parametric transducers where sound is generated or captured by the acoustic demodulation of amplitude modulated ultrasonic waves	H04R	H04
H01M14/00	Electrochemical current or voltage generators not provided for in groups H01M6/00 - H01M12/00; Manufacture thereof	H01M	H01
H04H60/49	. . for identifying locations	H04H	H04
H04H60/70	. . using geographical information, e.g. maps, charts or atlases	H04H	H04
H04H60/06	. . Arrangements for scheduling broadcast services or broadcast-related services	H04H	H04
H04H2201/13	. . radio data system/radio broadcast data system [RDS/RBDS]	H04H	H04
H01C10/00	Adjustable resistors	H01C	H01
H01H2239/006	. Containing a capacitive switch or usable as such	H01H	H01
H01H2239/074	. Actuation by finger touch	H01H	H01
H01J49/20	. . Magnetic deflection	H01J	H01
H02H7/22	. for distribution gear, e.g. bus-bar systems; for switching devices {(detecting mechanical or electrical defects in gas-insulated switchgears H02B13/065)}	H02H	H02
H04N5/64	. Constructional details of receivers, e.g. cabinets or dust covers (furniture aspects {of television cabinets} A47B 81/06)	H04N	H04
H01R39/36	. . Connections of cable or wire to brush	H01R	H01
H01G2/04	. . specially adapted for mounting on a chassis	H01G	H01
H04Q1/28	. . Current-supply circuits or arrangements for selection equipment at exchanges	H04Q	H04
H01M8/04276	. . Arrangements for managing the electrolyte stream, e.g. heat exchange	H01M	H01
H04L2209/26	. Testing cryptographic entity, e.g. testing integrity of encryption key or encryption algorithm	H04L	H04
H03F2200/351	. Pulse width modulation being used in an amplifying circuit	H03F	H03
H04B1/38	. Transceivers, i.e. devices in which transmitter and receiver form a structural unit and in which at least one part is used for functions of transmitting and receiving	H04B	H04
H04B1/692	. . Hybrid techniques using combinations of two or more spread spectrum techniques	H04B	H04
H05B2203/016	. Heaters using particular connecting means	H05B	H05
H01H9/26	. . for interlocking two or more switches ({H01H13/568 takes precedence;} by a detachable member H01H9/28 {; for electromagnetic relays H01H50/323})	H01H	H01
H04K2203/36	. . including means for exchanging jamming data between transmitter and receiver, e.g. in forward or backward direction	H04K	H04
H02G5/00	Installations of bus-bars	H02G	H02
H04N1/04	. Scanning arrangements {, i.e. arrangements for the displacement of active reading or reproducing elements relative to the original or reproducing medium, or vice versa}(H04N1/387 takes precedence)	H04N	H04
H01F6/02	. Quenching; Protection arrangements during quenching {(protection circuits H02H7/001)}	H01F	H01
H01M10/05	. Accumulators with non-aqueous electrolyte (H01M10/39 takes precedence)	H01M	H01
H04W4/33	. . for indoor environments, e.g. buildings	H04W	H04
H01F21/02	. continuously variable, e.g. variometers	H01F	H01
H02B1/50	. . Pedestal- or pad-mounted casings; Parts thereof or accessories therefor	H02B	H02
H05K5/06	. Hermetically-sealed casings {(specially adapted for small components H05K5/0095)}	H05K	H05
H01L2924/01057	. . Lanthanum [La]	H01L	H01
H01Q13/08	. Radiating ends of two-conductor microwave transmission lines, e.g. of coaxial lines, of microstrip lines	H01Q	H01
H02M1/34	. . Snubber circuits	H02M	H02
H02P25/08	. . Reluctance motors	H02P	H02
H03F3/60	. Amplifiers in which coupling networks have distributed constants, e.g. with waveguide resonators (H03F3/54 takes precedence)	H03F	H03
H03F2200/447	. the amplifier being protected to temperature influence	H03F	H03
H04W16/02	. Resource partitioning among network components, e.g. reuse partitioning	H04W	H04
H03H9/17	. . having a single resonator (crystal tuning forks H03H9/21)	H03H	H03
H04N13/398	. . Synchronisation thereof; Control thereof	H04N	H04
H04N13/324	. . Colour aspects	H04N	H04
H04N2213/001	. Constructional or mechanical details	H04N	H04
H04L2209/04	. Masking or blinding	H04L	H04
H01B7/04	. Flexible cables, conductors, or cords, e.g. trailing cables	H01B	H01
H04N1/405	. . Halftoning, i.e. converting the picture signal of a continuous-tone original into a corresponding signal showing only two levels	H04N	H04
H04R1/02	. Casings; Cabinets {; Supports therefor;} Mountings therein (H04R1/28 takes precedence {; attachments for microphones H04R1/08; mounting of transducers in earpieces H04R1/1075})	H04R	H04
H04R1/44	. Special adaptations for subaqueous use, e.g. for hydrophone	H04R	H04
H04M1/03	. . Constructional features of telephone transmitters or receivers, e.g. telephone hand-sets	H04M	H04
H04M1/18	. . Telephone sets specially adapted for use in ships, mines, or other places exposed to adverse environment (H04M1/19 takes precedence)	H04M	H04
H02K15/10	. Applying solid insulation to windings, stators or rotors	H02K	H02
H02K2203/03	. Machines characterised by the wiring boards, i.e. printed circuit boards or similar structures for connecting the winding terminations	H02K	H02
H02H3/48	. responsive to loss of synchronism	H02H	H02
H03K5/153	. Arrangements in which a pulse is delivered at the instant when a predetermined characteristic of an input signal is present or at a fixed time interval after this instant (switching at zero crossing H03K17/13)	H03K	H03
H03B2200/0012	. . Pierce oscillator	H03B	H03
H03D3/22	. . by means of active elements with more than two electrodes to which two signals are applied derived from the signal to be demodulated and having a phase difference related to the frequency deviation, e.g. phase detector	H03D	H03
H03D2200/0045	. . Calibration of demodulators	H03D	H03
H03D2200/0082	. . Quadrature arrangements	H03D	H03
H04Q2209/70	. Arrangements in the main station, i.e. central controller	H04Q	H04
H02K7/114	. . with dynamo-electric clutches in combination with brakes	H02K	H02
H01J2237/2602	. . Details	H01J	H01
H02P6/06	. Arrangements for speed regulation of a single motor wherein the motor speed is measured and compared with a given physical value so as to adjust the motor speed	H02P	H02
H01L2924/01023	. . Vanadium [V]	H01L	H01
H01L2924/01075	. . Rhenium [Re]	H01L	H01
H01F17/00	Fixed inductances of the signal type 	H01F	H01
H01B13/008	. for manufacturing extensible conductors or cables	H01B	H01
H01L23/06	. . characterised by the material of the container or its electrical properties	H01L	H01
H01M10/18	. . with bipolar electrodes	H01M	H01
H01F19/04	. Transformers or mutual inductances suitable for handling frequencies considerably beyond the audio range (resonant circuits H03H)	H01F	H01
H04N19/467	. . characterised by the embedded information being invisible, e.g. watermarking	H04N	H04
H01H9/34	. . Stationary parts for restricting or subdividing the arc, e.g. barrier plate	H01H	H01
H04W48/02	. Access restriction performed under specific conditions	H04W	H04
H01F41/02	. for manufacturing cores, coils, or magnets (H01F41/14 takes precedence; for dynamo-electric machines H02K15/00)	H01F	H01
H01F27/25	. . made from strips or ribbons (H01F27/26 takes precedence)	H01F	H01
H05B3/00	Ohmic-resistance heating	H05B	H05
H01Q1/04	. Adaptation for subterranean or subaqueous use	H01Q	H01
H01Q1/18	. . Means for stabilising antennas on an unstable platform	H01Q	H01
H01R9/24	. . Terminal blocks	H01R	H01
H02B1/21	. . Bus-bar arrangements for rack-mounted devices with withdrawable units	H02B	H02
H03F3/24	. . of transmitter output stages	H03F	H03
H01M2250/30	. Fuel cells in portable systems, e.g. mobile phone, laptop	H01M	H01
H04M2201/40	. using speech recognition (speech recognition per se G10L 15/00)	H04M	H04
H04M2203/5009	. . Adding a party to an existing conference (conducting a computer conference, e.g. admission detection H04L12/1822)	H04M	H04
H04M2203/5027	. . Dropping a party from a conference (conducting a computer conference, e.g. admission detection H04L12/1822)	H04M	H04
H04M2250/62	. user interface aspects of conference calls	H04M	H04
H01R33/76	. . Holders with sockets, clips, or analogous contacts adapted for axially-sliding engagement with parallely-arranged pins, blades, or analogous contacts on counterpart, e.g. electronic tube socket	H01R	H01
H02K1/06	. characterised by the shape, form or construction	H02K	H02
H01G11/30	. . characterised by their materials	H01G	H01
H04L25/20	. . Repeater circuits; Relay circuits	H04L	H04
H05B6/00	Heating by electric, magnetic or electromagnetic fields	H05B	H05
H01T13/08	. . Mounting, fixing or sealing of sparking plugs, e.g. in combustion chamber	H01T	H01
H04L25/08	. . Modifications for reducing interference; Modifications for reducing effects due to line faults {; Receiver end arrangements for detecting or overcoming line faults}	H04L	H04
H04W76/00	Connection management	H04W	H04
H04L25/06	. . Dc level restoring means; Bias distortion correction {; Decision circuits providing symbol by symbol detection}	H04L	H04
H04L25/03	. . Shaping networks in transmitter or receiver, e.g. adaptive shaping networks {; Receiver end arrangements for processing baseband signals}	H04L	H04
H01F41/32	. for applying conductive, insulating or magnetic material on a magnetic film {, specially adapted for a thin magnetic film}	H01F	H01
H01M2200/101	. . Bimetal	H01M	H01
H01H19/10	. . Movable parts; Contacts mounted thereon	H01H	H01
H01H19/04	. . Cases; Covers	H01H	H01
H01H19/08	. . Bases; Stationary contacts mounted thereon	H01H	H01
H01F1/00	Magnets or magnetic bodies characterised by the magnetic materials therefor; Selection of materials for their magnetic properties	H01F	H01
H01Q5/378	. . Combination of fed elements with parasitic elements	H01Q	H01
H04N2201/0093	. . Facsimile machine (H04N2201/0094 takes precedence)	H04N	H04
H02G1/00	Methods or apparatus specially adapted for installing, maintaining, repairing or dismantling electric cables or lines	H02G	H02
H03M1/08	. . of noise {(H03M1/0617 takes precedence)}	H03M	H03
H04H20/08	. . among terminal devices	H04H	H04
H02K15/14	. Casings; Enclosures; Supports	H02K	H02
H01Q15/16	. . curved in two dimensions, e.g. paraboloidal	H01Q	H01
H05B33/10	. Apparatus or processes specially adapted to the manufacture of electroluminescent light sources	H05B	H05
H03F3/58	. . using travelling-wave tubes	H03F	H03
H01F1/40	. . of magnetic semiconductor materials, e.g. CdCr2S4 (devices using galvano-magnetic or similar effects H01L43/00)	H01F	H01
H02K41/035	. . DC motors; Unipolar motors	H02K	H02
H03M1/70	. . Automatic control for modifying converter range	H03M	H03
H01L41/08	. Piezo-electric or electrostrictive devices	H01L	H01
H01M6/52	. Reclaiming serviceable parts of waste cells or batteries {, e.g. recycling}	H01M	H01
H03M13/45	. . Soft decoding, i.e. using symbol reliability information (H03M13/41 takes precedence)	H03M	H03
H04W36/38	. . by fixed network equipment	H04W	H04
H03F3/16	. . with field-effect devices	H03F	H03
H02H3/00	Emergency protective circuit arrangements for automatic disconnection directly responsive to an undesired change from normal electric working condition with or without subsequent reconnection (specially adapted for specific types of electric machines or apparatus or for sectionalised protection of cable or line systems H02H7/00; systems for change-over to standby supply H02J9/00 ){; integrated protection (for motors H02H7/0822)}	H02H	H02
H02K5/14	. . Means for supporting or protecting brushes or brush holders	H02K	H02
H02K2203/06	. Machines characterised by the wiring leads, i.e. conducting wires for connecting the winding terminations	H02K	H02
H04N5/74	. Projection arrangements for image reproduction, e.g. using eidophor	H04N	H04
H04R13/00	Transducers having an acoustic diaphragm of magnetisable material directly co-acting with electromagnet	H04R	H04
H04Q2209/88	. . Providing power supply at the sub-station	H04Q	H04
H01F13/006	. Methods and devices for demagnetising of magnetic bodies	H01F	H01
H04W12/00	Security arrangements; Authentication; Protecting privacy or anonymity	H04W	H04
H04L2209/60	. Digital content management, e.g. content distribution	H04L	H04
H04N17/02	. for colour television signals	H04N	H04
H05K3/46	. Manufacturing multilayer circuits	H05K	H05
H04H60/33	. . Arrangements for monitoring the users behaviour or opinions	H04H	H04
H04H60/46	. . for recognising users preferences	H04H	H04
H01Q13/04	. . Biconical horns (biconical dipoles comprising two conical surfaces having collinear axes and adjacent apices and fed by a two-conductor transmission line H01Q9/28)	H01Q	H01
H01Q5/10	. Resonant antennas	H01Q	H01
H02J5/00	Circuit arrangements for transfer of electric power between ac networks and dc networks (H02J3/36 takes precedence)	H02J	H02
H01S5/028	. . Coatings {; Treatment of the laser facets, e.g. etching, passivation layers or reflecting layers}	H01S	H01
H01G11/80	. . Gaskets; Sealings	H01G	H01
H04L1/16	. . in which the return channel carries supervisory signals, e.g. repetition request signals	H04L	H04
H01J61/30	. . Vessels; Containers	H01J	H01
H04W24/00	Supervisory, monitoring or testing arrangements	H04W	H04
H05K1/18	. Printed circuits structurally associated with non-printed electric components ({H05K1/0201, H05K1/023, H05K1/0243, and} H05K1/16 take precedence)	H05K	H05
H02H1/06	. Arrangements for supplying operative power {(power supply arrangements in general G05F, H02M)}	H02H	H02
H01G9/008	. . Terminals	H01G	H01
H02K15/09	. . by laying conductors into slotted rotors	H02K	H02
H02G9/12	. supported on or from floats, e.g. in water (floating cables H01B7/12)	H02G	H02
H02K16/00	Machines with more than one rotor or stator {(machines for transmitting mechanical power from a driving shaft to a driven shaft and comprising structurally interrelated motor and generator parts H02K51/00; permanent magnet machines with multiple rotors or stators relatively rotated for vectorially combining the excitation fields or the armature voltages H02K21/029)}	H02K	H02
H01M10/30	. . Nickel accumulators (H01M10/34 takes precedence)	H01M	H01
H01L31/0232	. . Optical elements or arrangements associated with the device (H01L31/0236 takes precedence; for photovoltaic cells H01L31/054; for photovoltaic modules H02S40/20)	H01L	H01
H01F1/01	. of inorganic materials (H01F1/44 takes precedence)	H01F	H01
H01L2223/54433	. . containing identification or tracking information	H01L	H01
H01L2223/54473	. . for use after dicing	H01L	H01
H02K17/02	. Asynchronous induction motors	H02K	H02
H04N5/32	. . Transforming X-rays {(image transformers H01J31/00)}	H04N	H04
H04L9/38	. Encryption being effected by mechanical apparatus, e.g. rotating cams, switches, keytape punchers	H04L	H04
H04N9/04	. Picture signal generators	H04N	H04
H01L33/26	. . Materials of the light emitting region	H01L	H01
H01R13/502	. . composed of different pieces (H01R13/514 takes precedence)	H01R	H01
H01R2105/00	Three poles	H01R	H01
H04W12/10	. Integrity	H04W	H04
H04N7/087	. . with signal insertion during the vertical blanking interval {only}	H04N	H04
H04R2207/021	. Diaphragm extensions, not necessarily integrally formed, e.g. skirts, rims, flanges	H04R	H04
H04R2307/025	. Diaphragms comprising polymeric materials	H04R	H04
H04R2307/027	. Diaphragms comprising metallic materials	H04R	H04
H04R2307/029	. Diaphragms comprising fibres	H04R	H04
H01H83/04	. . with testing means for indicating the ability of the switch or relay to function properly	H01H	H01
H04N9/43	. Conversion of monochrome picture signals to colour picture signals for colour picture display	H04N	H04
